Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
301.5235853987722,311.87613947022857,1251,34.94286194066402,270,0
294.80007946879755,306.5983264367958,1633,39.763012746043586,289,0
303.75225597903227,310.8077147473649,1491,33.26817134620215,271,0
304.70282358195607,314.13222725718094,1410,36.423220392571984,132,0
290.2448240567308,301.90313064748904,1462,38.779043243344574,280,0
293.4891024656884,303.62030276237357,1655,37.890573230428124,3,0
300.6392020158364,313.57386963999136,1609,43.63453801184962,61,0
298.41878703828206,305.26694032190824,1480,36.31086191297223,196,0
299.91599421247855,306.53599067658627,1329,27.650093776815247,231,0
295.7347803621321,307.27415339537754,1339,31.57113545334235,36,0
304.39698987431416,316.1286043041797,1612,39.91090932249404,87,1
303.8889596771447,313.50245966348103,1308,37.06598364996621,26,0
300.33015348780606,311.1309422878975,1482,33.816641340209515,31,0
305.63620603484014,317.12661999010294,1902,49.7922566454468,7,0
302.33754671126025,310.7098202995567,1568,44.143750606931775,297,0
295.7035376855838,304.2898409354852,1611,39.707864199283726,264,0
301.8437539204125,312.22320627880976,1340,41.16648621249601,182,0
295.205586995855,307.01376491564247,1315,38.67429494496508,10,0
304.39225150653635,312.0603376538204,1619,33.73092377652377,219,0
299.7503704450687,309.35447518119867,1457,45.15360143195409,161,0
299.0756881822737,308.58721491886485,1676,44.25665040554466,232,0
296.5953522779803,307.4312704880658,1521,30.113331084639942,146,0
306.11270669337017,316.0953099533525,2000,41.13216251057877,2,0
299.227352589656,308.13558542205027,1429,41.68416112788781,273,0
297.85836088918444,310.3554924506993,1558,38.39134385572029,263,0
298.2393322475589,307.16081728431726,1380,50.48632669315717,273,0
302.6615459277667,312.07735320172384,1669,49.94372333129722,198,0
301.8272203218204,308.6442250499811,1581,38.112460173762315,276,0
302.06366305797997,310.6364113042882,1370,38.88590394752953,21,0
302.1541050150394,313.18625716771754,1467,38.298647842954026,120,0
310.7082380043523,321.34944191706205,1720,36.94333813476352,96,0
297.9679249180769,309.1669588982084,1702,35.39619743719777,142,0
297.43878635464233,308.5407509265337,1302,42.53428555845962,12,0
295.9311363587606,310.10656443135093,1445,49.80720718362781,247,0
303.07989711287746,311.5841794579836,1788,47.750409449476564,89,0
305.64486146360446,312.40601397673487,1489,43.945884974534856,36,0
299.4302627117256,307.32915671958256,1542,27.964440410156794,59,0
295.79921761518733,304.3919139435242,1669,30.677252583038527,34,0
295.8775939215438,303.92894004831,1315,45.3208165324762,205,0
303.2529639391235,313.4402856344132,1374,48.0968672396441,276,0
303.7162708560172,316.22158066713126,1466,42.76867312011389,25,0
302.71577134152596,315.7950894874658,1695,38.472098424748715,8,0
296.6724514635565,307.6810684672497,1667,46.76150504697996,264,0
301.1608066153336,315.4433510462417,1622,43.76796885939456,114,0
300.58342904570367,309.87068293257084,1494,45.687226403666806,36,0
301.09344298364505,307.8284048996402,1684,30.717154463692196,58,0
304.35714388974094,316.4635000255173,1492,41.71669956015858,202,0
301.11797774387344,307.4407889603753,1601,48.872855735666796,25,0
303.3945678153595,311.8845617699599,1651,42.63724215233182,120,0
300.33789534744443,311.37811981229004,1769,44.74122365811329,292,0
301.4455969934499,311.2408340333523,1506,40.18186455252665,129,0
303.15644112919273,312.7745356034497,1460,40.530375611465786,49,0
292.71422090072167,300.3526408350817,1709,47.0126377118691,227,0
298.4016439182135,308.3800391393468,1720,36.65105825746545,129,0
297.64813672853603,309.65546170601164,1433,36.16180440870107,119,0
296.8056107587833,306.84554659185534,1349,37.608929876143044,76,0
298.6242887438666,306.9638369845845,1697,40.11723201234806,225,0
307.47470655617195,314.9796296349773,1268,31.94955544332629,147,0
295.6708444215338,304.0516552556226,1261,43.65529465189837,145,0
304.8413917729574,315.6260592777861,1474,39.17876556963903,230,0
291.58565114192095,302.27285566664034,1515,44.268446300554544,108,0
298.3255748500711,306.7245606488798,1341,29.40465036736354,197,0
300.813765325525,306.3922464815609,1533,44.28761513242475,51,0
302.9311116567964,313.77113718414074,1539,46.684474719765646,171,0
303.5561328989643,311.76071810101377,1427,42.19273917000864,128,0
303.96673617599964,315.3448611340302,1805,40.150094940839544,153,0
298.2563746387578,306.7441553545023,1564,44.326016496684254,109,0
297.68824103667714,305.71244012933755,1669,46.35714129370458,39,0
304.28987940628576,314.5962232208049,1281,42.61463283921708,276,0
299.0434783755919,313.7588768356446,1280,42.98820590489662,120,0
293.6215683833104,305.1196283655435,1569,48.284709370831465,224,0
294.3335639299826,304.6060025283943,1778,43.80578492823389,271,0
295.4027385699919,306.12044164275386,1348,35.9987043363975,133,0
302.48580372026885,308.98357199729764,1521,46.33320950953796,246,0
300.7121286803528,308.46744793884767,1314,39.38139355080244,131,0
303.45242677033883,308.43056904024456,1392,40.166415043013906,19,0
297.8637367683173,311.3234845574706,1528,40.53440213711813,264,0
300.7926984553836,313.84747051369504,1426,44.84433933827936,252,0
303.12795196983666,313.9135890222665,1304,48.744264538281186,169,0
298.4532673013988,308.72349750756723,1300,40.122107210563414,248,0
302.28387618778703,309.18069618279185,1217,48.656310550562424,200,0
296.69037029466676,306.2517703741654,1571,40.822941563852886,240,0
298.18473076717464,311.7695145239824,1589,47.010839718614875,17,0
298.09131053000834,308.35414252639976,1588,40.9921653576706,244,0
294.0208017720548,302.89150883963106,1363,37.537881717713134,64,0
302.4348624039279,308.9187210839207,1650,49.610495338833765,294,0
297.6529882989864,310.413599754448,1606,37.060576006098024,289,0
300.0624705936384,309.9223029915831,1501,36.725954609155934,16,0
302.40373329452956,308.8902655878039,1476,33.71979852227839,195,0
302.2326558801497,310.38412451600664,1402,46.3363375960118,115,0
303.3269255448639,310.77184951014766,1528,47.51723649716662,76,0
299.5075725774529,309.2440855260289,1742,41.86564920676713,290,0
297.88350843977923,308.29818637900485,1670,35.08063431980982,120,0
299.601408945468,308.59497481691096,1461,39.96610607132538,165,0
291.56332783020986,303.1174210231836,1580,38.48690324495948,94,0
292.76443763788455,302.92204211882944,1334,34.847657014579994,204,0
293.386501938228,305.5111267087722,1609,37.55554218406955,75,0
295.01376586199257,304.29937770583115,1375,42.52867825648518,108,0
301.9988711336172,318.0895223176395,1603,36.974155864082384,211,0
295.4726047231997,304.34362727625177,1945,41.45866941575545,63,0
298.10918722980307,306.30252724629133,1414,31.118389001293327,235,0
306.49614148893033,314.4435403887388,1938,48.39590528898415,293,0
298.2186801446929,307.7967986915843,1573,38.042942107364276,211,0
303.68757784233543,310.2485056606039,1387,44.351244419870056,108,0
295.3319115999506,305.9210372876062,1380,40.94342510718322,54,0
298.97281221066186,305.16220467153227,1854,42.012490587767516,168,0
295.2498897254471,305.57323157356154,1573,34.34007803261617,131,0
298.30483462049716,305.60233113230447,1415,36.19720507906645,73,0
304.201540687287,313.4389538725268,1469,36.310732929790895,110,0
291.36339788403825,302.572478682303,1564,40.12673713020388,290,0
302.1721182177293,316.780193585482,1498,46.630777902521814,50,0
301.1886780116614,309.0326769700991,1551,42.16627419935684,77,0
297.029250221516,306.72861532266325,1766,35.498298139421465,104,0
292.7697107280577,301.3221933785066,1330,40.436669876307015,274,0
300.36064753856937,308.6209068934478,1596,39.596830825699215,107,0
297.352536454681,305.9225897947419,1489,38.245674495506265,87,0
301.1633810567735,312.81151400804737,1425,39.92291737090146,89,0
300.1092607276172,309.13314899915645,1660,43.818559606697896,284,0
308.0088944566046,322.5075198531463,1280,36.400367907587814,106,0
298.80322186263487,309.63518037442435,1200,38.27054498166996,110,0
294.88251253689066,302.8624912145425,1533,44.91060401446407,109,0
300.8963781747816,310.16296781049147,1479,42.34481386678,261,0
301.0999834198588,309.4962894397788,1297,46.39555906807758,213,0
306.7959378762022,318.3960751820956,1243,47.1792485879832,179,0
304.1755562295729,310.8979969164424,1789,33.197294399056425,63,0
301.78435529574756,309.10245253487597,1569,41.441488938052004,34,0
307.3165144560978,316.13342221859955,1502,37.46021686224073,26,0
294.05618472838574,305.4220783146624,1829,34.006404659906615,88,0
296.8012423362513,309.26736288589683,1653,36.05403307950587,237,0
295.3671202929724,308.1282046745181,1765,38.496158253885845,228,0
298.0509509842212,309.11055402411625,1323,38.527396574148945,234,0
293.11656926221843,302.9507901895024,1317,36.96555655884486,200,0
303.17575473407203,314.7650063587,1592,39.931793024407646,154,0
298.8888865145061,306.5998852796427,1562,52.23323098944655,106,0
292.64596852748673,298.9566540834543,1687,31.37390702493373,218,0
294.9221045939623,305.79537974933527,1255,45.68588458660529,58,0
301.56756923725095,309.55621240295324,1605,39.90812843327706,20,0
304.1906328394719,314.06001937514094,1648,37.810605764213776,248,0
309.98365445845894,320.2229084902046,1640,29.908949619552253,142,0
314.56931233003667,325.06555144839325,1438,43.813816562870926,186,0
302.07204716638,313.9476302434301,1577,32.7951625133701,287,0
295.0523093998407,306.71645977642413,1383,44.13946952210635,204,0
289.33976859634345,299.7297687306788,1456,48.706654344968776,229,0
301.33855731171917,310.45452675078036,1343,33.58598118203405,143,0
295.93529452344836,306.150818700801,1386,45.841802924787004,95,0
297.92321369910155,306.7307928657517,1463,40.12719682373567,105,0
296.939516004701,306.54665816068865,1426,29.528976840793558,270,0
299.2960455679181,314.5323924150789,1386,33.97591572526229,114,0
305.32990115393824,315.6942805557053,1305,40.89113321319271,280,0
300.78524283722675,311.68573287130187,1794,42.00591622816481,9,0
299.20682581480656,307.79586451674584,1424,32.09654372200499,87,0
294.82173123587097,306.86187806873073,1549,40.15852546826819,283,0
291.62658527647824,303.1471301218051,1236,44.11777980174061,173,0
297.56846045463334,309.1031655639435,1703,44.99287759709653,109,0
299.7310872459084,310.1608697394153,1525,37.93582016367113,52,0
308.8396495678994,320.90802975943296,1433,42.19234389278287,144,0
300.6513726073644,313.1947430006339,1434,45.362176932321475,287,0
304.9136975551153,315.4798953938139,1630,44.262279896093354,107,0
297.50352200730424,307.2742972893036,1200,44.45718607664561,144,0
294.07528116791485,305.8644231481444,1376,40.567533078168765,106,0
295.17441618883817,303.3661655757187,1482,39.527411314787074,258,0
296.37386967732124,304.9379491160906,1480,41.36056786877458,205,0
310.64234866217583,320.535747976406,1875,36.181156404990666,185,0
295.8930666038781,302.4103524670018,1449,45.560474965381864,201,0
304.1924460186817,315.84763656580856,1648,32.34797721615955,123,0
295.48536410956484,303.5595363346332,1771,37.47844844040465,243,0
304.6578650643712,313.7148830213677,1600,39.81878591653827,184,0
301.9247548305293,311.49819563916975,1398,42.3483974946826,21,0
299.2168105117095,309.29538415485064,1307,43.28764257501099,112,0
299.7961873693228,309.1088808164767,1611,47.44493078647938,262,0
296.72606152285306,306.59131942839235,1746,40.38876056902439,76,0
302.2303610074104,312.1111057426296,1581,36.41007075085187,287,0
297.7250825982961,306.83102068304186,1685,39.27481634242084,244,0
293.87197118116376,302.3255822658862,1888,38.40301221894986,296,0
293.6103121284019,305.7732599771131,1625,42.59966731684721,239,0
300.8629395886106,306.6541281840772,1334,34.665005011961824,38,0
307.8954562820522,317.4840259640332,1507,39.12285139437849,57,0
300.7999580678672,309.86215912409875,1705,48.11331009262509,146,0
299.4068083694506,310.24439134290355,1462,40.89926065467336,107,0
301.4291306980127,308.5205451049747,1725,34.73533602121296,281,0
306.5300087085341,315.5304380260469,1489,38.30107691478642,254,0
301.0969125068193,310.8921930388398,1550,28.83508361232118,227,0
297.9453638458313,310.0855110665722,1447,39.705699583336276,282,0
305.53144355029946,316.19581348389033,1523,48.23840680470131,18,0
302.1437821923081,309.7768057705704,1531,34.066985163057936,210,0
307.67877995998,316.70382652253863,1258,32.71976564442974,261,0
300.9161721861095,312.6882748914309,1433,36.73369991624752,292,0
293.8776548413975,301.4761051095513,1315,44.60658170164756,251,0
293.15920400377166,303.00191546702695,1438,48.52318792098432,242,0
308.25463966115626,318.2363987561037,1380,42.24106075306445,234,0
308.6183286039165,317.846762484075,1651,33.570451394446906,38,0
299.10240393358697,314.4939074991848,1653,39.888875636866445,123,0
298.0840633943201,307.258600475425,1584,48.947127410451984,262,0
307.307221461211,318.20675177994656,1309,38.44549649057428,189,0
294.4647715897826,302.932169349344,1485,40.702362525877184,78,0
295.5263649052209,306.5818608892197,1297,41.202798019995306,214,0
303.2166339734452,314.95820916714905,1477,32.27068520416505,7,0
298.02697438570203,306.85104631220986,1597,44.989733563101126,118,0
299.97439066639964,309.8649870359626,1648,44.268808747482296,226,0
299.18278550737745,307.3922259675957,1570,30.032298010735353,235,0
301.68787274399466,309.3990651198949,1688,33.34674190815551,152,0
307.0374093065686,319.111000171569,1538,35.15149937432209,81,0
300.4529245345087,309.34492264274144,1464,43.74174623129437,148,0
303.2196939663843,308.39246930936815,1631,36.24443964913808,55,0
289.7491394948449,303.27985180783213,1635,42.006755496278,280,0
299.75640799034943,308.1522173442242,1421,39.09112502332978,257,0
295.78384864853564,305.29110256103957,1556,40.3558587649157,216,0
293.90593469788183,307.18774770887046,1455,42.47967714790994,101,0
295.60923816535626,305.325753976981,1200,41.36167060700524,43,0
298.32938279649596,308.00270959209223,1566,39.905140622164176,17,0
304.57951271178007,312.123166622679,1305,41.63540214650444,114,0
293.36803641130217,300.09836901204704,1549,41.08486038594192,249,0
300.1531574629721,309.82038493377985,1269,38.95166514352603,110,0
297.5791528333321,308.3047723814819,1392,37.84382297446861,239,0
298.3616345281902,308.97268534461176,1434,49.40221409014315,53,0
305.013789126523,314.0512669655846,1680,37.78647554068694,240,0
302.6905771850196,312.7310927837135,1419,46.83497497180186,23,0
306.6869905372137,313.01257054655775,1338,36.57435426665867,102,0
299.2274716037505,310.14780564514143,1554,44.050872574873175,45,0
296.5202869416465,306.8430986311866,1467,48.91879114989322,180,0
298.8807059155975,312.82802770396324,1618,38.312467565612444,56,0
301.2124839563561,311.22744324921416,1348,36.6630392212824,4,0
300.88286679226854,308.9975280879764,1531,37.85385189660627,96,0
294.57805963883317,304.4766133706555,1870,39.90316182673572,0,0
300.4524489081394,309.7968493081077,1464,41.60935669212647,113,0
301.1411416506945,312.0105573882353,1528,39.80001405184809,77,0
312.5873701876696,322.64115431112,1250,37.90007720199299,279,0
309.38422305640836,316.86432965430305,1372,49.77270928904986,157,0
295.7337832472059,302.46229667081786,1568,38.99780587273753,131,0
298.5630831922541,309.08889959752014,1450,36.89949311430239,180,0
292.68278999081497,305.44901907295343,1592,44.152555837902774,41,0
297.0464649301826,307.205160698286,1563,44.2321789974681,40,0
301.5780250179517,313.2046197257921,1302,47.06244688453925,46,0
306.02926810444114,318.05488641284836,1652,49.639318795246666,260,0
296.35458081128195,306.8881645028713,1313,41.73136010119283,223,0
296.72926779966105,305.10028482393824,1385,38.55872877228378,287,0
289.2635548513067,299.6541710213978,1534,30.488814664804103,243,0
299.18667039727546,311.6008161724764,1735,35.310742908259726,35,0
294.6879279407022,305.747709039902,1349,41.04280884166448,49,0
297.35280286316964,308.84929354882695,1522,34.095290767154225,247,0
295.61569610916206,304.6906036257784,1523,32.07439122654273,164,0
299.5286872287372,309.12397970924627,1598,40.329139474757696,184,0
291.2113580432168,300.9739034214161,1677,43.88379609537807,70,0
292.66477377304506,302.56209776797147,1439,38.76760977055407,150,0
310.64623556014146,322.98215219216615,1651,44.48393801363475,270,0
293.56288709362985,298.8685396369535,1699,43.082914819620356,146,0
294.5160721077268,304.57714871689046,1767,45.7461665654933,206,0
309.1845676416066,319.0255748902169,1575,50.86719229197796,224,0
314.52533584620204,321.7823335633137,1523,53.07013320334548,277,0
